task,rerank_profile,selected_batch_size,test_id,repeat_id,split_seed,model_seed,n_panel_genes,n_nonzero_gain_genes,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_colsample_bynode,elapsed_seconds,n_train,n_test,model_accuracy,model_balanced_accuracy,model_f1_macro,model_auc_macro_ovr,primary_metric
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_041,41,717645973,259260915,2000,1601,200,4,0.03,0.8,0.3,0.4,1029.82,585,252,0.9404761904761905,0.9193998420637011,0.9277813020206529,0.9935691821464476,0.9277813020206529
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_042,42,62476610,392019346,2000,1587,200,4,0.03,0.8,0.3,0.4,1054.896,585,252,0.9404761904761905,0.9390794395097853,0.9348227451980984,0.993131612376501,0.9348227451980984
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_043,43,1968985534,1996444117,2000,1533,200,4,0.03,0.8,0.3,0.4,1079.807,585,252,0.9007936507936508,0.8895830145019803,0.8908446564388515,0.9875137908038125,0.8908446564388515
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_044,44,36637909,1690252202,2000,1601,200,4,0.03,0.8,0.3,0.4,1104.952,585,252,0.9206349206349206,0.8872565148723348,0.8968734344373521,0.9928601382199407,0.8968734344373521
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_045,45,1679951339,480652198,2000,1629,200,4,0.03,0.8,0.3,0.4,1129.94,585,252,0.9404761904761905,0.9385596423783493,0.9296144264481083,0.9922250907053545,0.9296144264481083
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_046,46,1506722123,1414680722,2000,1574,200,4,0.03,0.8,0.3,0.4,1155.098,585,252,0.9285714285714286,0.9246447963662408,0.9179561075706516,0.991841727076834,0.9179561075706516
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_047,47,154241388,2067437217,2000,1571,200,4,0.03,0.8,0.3,0.4,1179.875,585,252,0.9365079365079365,0.9193735958667214,0.9229066050031788,0.9920824303383154,0.9229066050031788
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_048,48,663565285,877257449,2000,1563,200,4,0.03,0.8,0.3,0.4,1204.605,585,252,0.9087301587301587,0.8603481179257699,0.877303668509297,0.9890855170634201,0.877303668509297
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_049,49,160668733,1183759757,2000,1598,200,4,0.03,0.8,0.3,0.4,1229.527,585,252,0.9246031746031746,0.9088445092649841,0.9144242000202635,0.992372329969478,0.9144242000202635
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_050,50,1167635733,559067142,2000,1625,200,4,0.03,0.8,0.3,0.4,1254.622,585,252,0.9365079365079365,0.9328869439326138,0.935298861174506,0.9946333754350274,0.935298861174506
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_051,51,89847449,1744032717,2000,1604,200,4,0.03,0.8,0.3,0.4,1279.519,585,252,0.9126984126984127,0.8752500658067912,0.881003961695078,0.9918716441872492,0.881003961695078
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_052,52,463619665,1130684028,2000,1603,200,4,0.03,0.8,0.3,0.4,1304.337,585,252,0.9166666666666666,0.902625767490833,0.8943783472632982,0.9871231663918876,0.8943783472632982
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_053,53,1948138639,1118086880,2000,1560,200,4,0.03,0.8,0.3,0.4,1329.452,585,252,0.9285714285714286,0.9146584627533562,0.9173610174486855,0.9883983484143787,0.9173610174486855
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_054,54,1472601564,1047856285,2000,1569,200,4,0.03,0.8,0.3,0.4,1354.166,585,252,0.9206349206349206,0.9078344515386546,0.9087514891013877,0.9891799446094219,0.9087514891013877
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_055,55,1629552075,612819830,2000,1589,200,4,0.03,0.8,0.3,0.4,1379.418,585,252,0.9404761904761905,0.9333772045275072,0.9254884462530639,0.9931255846190785,0.9254884462530639
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_056,56,1841419294,2122896327,2000,1593,200,4,0.03,0.8,0.3,0.4,1404.229,585,252,0.9325396825396826,0.9208509583305277,0.9212610676174577,0.9907512029576155,0.9212610676174577
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_057,57,1524675709,824391924,2000,1595,200,4,0.03,0.8,0.3,0.4,1429.354,585,252,0.9246031746031746,0.9233416688602264,0.918745911597047,0.9909051316104428,0.918745911597047
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_058,58,837893912,181301818,2000,1600,200,4,0.03,0.8,0.3,0.4,1454.533,585,252,0.9285714285714286,0.9155568019735916,0.9162531685787499,0.9913051207812237,0.9162531685787499
