task,rerank_profile,selected_batch_size,test_id,repeat_id,split_seed,model_seed,n_panel_genes,n_nonzero_gain_genes,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_colsample_bynode,elapsed_seconds,n_train,n_test,model_accuracy,model_balanced_accuracy,model_f1_macro,model_auc,model_auprc,primary_metric
her2_status,auc_bytree03_bynode04_depth4,100,test_060,60,1257780616,1316170160,2000,677,150,4,0.03,0.8,0.3,0.4,374.266,536,230,0.9478260869565217,0.8235294117647058,0.8780056577086279,0.9078631452581032,0.8448675062531171,0.9078631452581032
her2_status,auc_bytree03_bynode04_depth4,100,test_061,61,1504520487,1063965530,2000,667,150,4,0.03,0.8,0.3,0.4,380.511,536,230,0.9608695652173913,0.8798019207683073,0.9149513127079995,0.9603841536614646,0.9132271678934832,0.9603841536614646
her2_status,auc_bytree03_bynode04_depth4,100,test_062,62,104852256,876482585,2000,685,150,4,0.03,0.8,0.3,0.4,386.791,536,230,0.9739130434782609,0.9360744297719088,0.946931241347485,0.9567827130852341,0.8915350412477091,0.9567827130852341
her2_status,auc_bytree03_bynode04_depth4,100,test_063,63,1043412937,200264974,2000,732,150,4,0.03,0.8,0.3,0.4,393.213,536,230,0.9782608695652174,0.9507803121248499,0.9563252440089629,0.982593037214886,0.9664296880018844,0.982593037214886
her2_status,auc_bytree03_bynode04_depth4,100,test_064,64,1414637563,1223238559,2000,676,150,4,0.03,0.8,0.3,0.4,399.432,536,230,0.9652173913043478,0.9066626650660263,0.9273989898989898,0.9402761104441777,0.9060331883520981,0.9402761104441777
her2_status,auc_bytree03_bynode04_depth4,100,test_065,65,1647448353,109399595,2000,682,150,4,0.03,0.8,0.3,0.4,405.633,536,230,0.9608695652173913,0.9041116446578632,0.9193768257059396,0.9849939975990396,0.9219203482858881,0.9849939975990396
her2_status,auc_bytree03_bynode04_depth4,100,test_066,66,1797240989,297727795,2000,660,150,4,0.03,0.8,0.3,0.4,411.776,536,230,0.9565217391304348,0.9015606242496998,0.911552068912475,0.9593337334933973,0.8775751443179709,0.9593337334933973
her2_status,auc_bytree03_bynode04_depth4,100,test_067,67,952714340,1666380501,2000,678,150,4,0.03,0.8,0.3,0.4,417.956,536,230,0.9695652173913043,0.9213685474189676,0.9372930866601753,0.957983193277311,0.9261851203836188,0.957983193277311
her2_status,auc_bytree03_bynode04_depth4,100,test_068,68,324172750,520877636,2000,706,150,4,0.03,0.8,0.3,0.4,424.152,536,230,0.9652173913043478,0.9188175270108043,0.92924165512998,0.9644357743097238,0.9308128497919599,0.9644357743097238
her2_status,auc_bytree03_bynode04_depth4,100,test_069,69,569396407,2112167729,2000,702,150,4,0.03,0.8,0.3,0.4,430.422,536,230,0.9565217391304348,0.9258703481392556,0.9157509157509157,0.9669867947178872,0.9257265635468651,0.9669867947178872
her2_status,auc_bytree03_bynode04_depth4,100,test_070,70,559327604,79899384,2000,741,150,4,0.03,0.8,0.3,0.4,436.961,536,230,0.9652173913043478,0.8945078031212486,0.9254336197114605,0.9692376950780313,0.9241967775533351,0.9692376950780313
her2_status,auc_bytree03_bynode04_depth4,100,test_071,71,2033684716,1011890517,2000,685,150,4,0.03,0.8,0.3,0.4,443.195,536,230,0.9521739130434783,0.8990096038415366,0.9039155368197183,0.9369747899159664,0.8976743303733123,0.9369747899159664
her2_status,auc_bytree03_bynode04_depth4,100,test_072,72,422558652,1310724497,2000,682,150,4,0.03,0.8,0.3,0.4,449.424,536,230,0.9565217391304348,0.889405762304922,0.9092487373737373,0.958733493397359,0.8955778791183273,0.958733493397359
her2_status,auc_bytree03_bynode04_depth4,100,test_073,73,369457603,1804532411,2000,633,150,4,0.03,0.8,0.3,0.4,455.587,536,230,0.9391304347826087,0.8184273709483794,0.8618974095042031,0.9078631452581032,0.8217260027323519,0.9078631452581032
her2_status,auc_bytree03_bynode04_depth4,100,test_074,74,46798043,25651687,2000,669,150,4,0.03,0.8,0.3,0.4,461.774,536,230,0.9652173913043478,0.8823529411764706,0.9233333333333333,0.9350240096038415,0.8707201842525385,0.9350240096038415
her2_status,auc_bytree03_bynode04_depth4,100,test_075,75,1782546789,1489397828,2000,635,150,4,0.03,0.8,0.3,0.4,467.946,536,230,0.9434782608695652,0.8452881152460985,0.877151896133777,0.9173169267707083,0.829187207387387,0.9173169267707083
her2_status,auc_bytree03_bynode04_depth4,100,test_076,76,82592531,235793450,2000,695,150,4,0.03,0.8,0.3,0.4,474.138,536,230,0.9739130434782609,0.9117647058823529,0.9440752147835954,0.9779411764705882,0.9375727930211435,0.9779411764705882
her2_status,auc_bytree03_bynode04_depth4,100,test_077,77,1023017502,193157600,2000,683,150,4,0.03,0.8,0.3,0.4,480.334,536,230,0.9739130434782609,0.9117647058823529,0.9440752147835954,0.9684873949579832,0.930300572736083,0.9684873949579832
her2_status,auc_bytree03_bynode04_depth4,100,test_078,78,201717629,1065034674,2000,697,150,4,0.03,0.8,0.3,0.4,486.651,536,230,0.9652173913043478,0.9188175270108043,0.92924165512998,0.9885954381752701,0.9562787720703809,0.9885954381752701
her2_status,auc_bytree03_bynode04_depth4,100,test_079,79,466763580,1350589188,2000,652,150,4,0.03,0.8,0.3,0.4,492.778,536,230,0.9478260869565217,0.8843037214885954,0.89386248269497,0.928421368547419,0.8753228996303694,0.928421368547419
her2_status,auc_bytree03_bynode04_depth4,100,test_080,80,1814641778,1851431563,2000,705,150,4,0.03,0.8,0.3,0.4,499.052,536,230,0.9695652173913043,0.9213685474189676,0.9372930866601753,0.9519807923169269,0.9155297077681992,0.9519807923169269
her2_status,auc_bytree03_bynode04_depth4,100,test_081,81,820072358,1457650396,2000,671,150,4,0.03,0.8,0.3,0.4,505.281,536,230,0.9521739130434783,0.850390156062425,0.8930639502937572,0.9354741896758704,0.874138778669405,0.9354741896758704
her2_status,auc_bytree03_bynode04_depth4,100,test_082,82,1526874776,24623721,2000,636,150,4,0.03,0.8,0.3,0.4,511.5,536,230,0.9478260869565217,0.8235294117647058,0.8780056577086279,0.9309723889555823,0.8535213993224622,0.9309723889555823
her2_status,auc_bytree03_bynode04_depth4,100,test_083,83,1136731730,1334543441,2000,717,150,4,0.03,0.8,0.3,0.4,517.842,536,230,0.9652173913043478,0.8945078031212486,0.9254336197114605,0.9716386554621849,0.9220017379544083,0.9716386554621849
her2_status,auc_bytree03_bynode04_depth4,100,test_084,84,1762944926,153036970,2000,671,150,4,0.03,0.8,0.3,0.4,523.962,536,230,0.9695652173913043,0.9092136854741897,0.9356283235376435,0.9186674669867947,0.9033560550962891,0.9186674669867947
her2_status,auc_bytree03_bynode04_depth4,100,test_085,85,1774841766,1615098374,2000,717,150,4,0.03,0.8,0.3,0.4,530.276,536,230,0.9652173913043478,0.9431272509003601,0.9326007326007326,0.9827430972388956,0.9555080041535746,0.9827430972388956
her2_status,auc_bytree03_bynode04_depth4,100,test_086,86,597513054,1836793181,2000,650,150,4,0.03,0.8,0.3,0.4,536.424,536,230,0.9478260869565217,0.8599939975990396,0.8881504295671907,0.9254201680672268,0.8487040460771376,0.9254201680672268
her2_status,auc_bytree03_bynode04_depth4,100,test_087,87,821272381,272976217,2000,714,150,4,0.03,0.8,0.3,0.4,542.651,536,230,0.9608695652173913,0.8798019207683073,0.9149513127079995,0.9785414165666267,0.9434447149122593,0.9785414165666267
her2_status,auc_bytree03_bynode04_depth4,100,test_088,88,2104477695,1561239857,2000,675,150,4,0.03,0.8,0.3,0.4,548.868,536,230,0.9652173913043478,0.9066626650660263,0.9273989898989898,0.967436974789916,0.9411837991478577,0.967436974789916
her2_status,auc_bytree03_bynode04_depth4,100,test_089,89,591862656,644483300,2000,700,150,4,0.03,0.8,0.3,0.4,555.142,536,230,0.9739130434782609,0.9239195678271308,0.9455492424242424,0.9849939975990396,0.9578375451240726,0.9849939975990396
her2_status,auc_bytree03_bynode04_depth4,100,test_090,90,1461503688,501011125,2000,643,150,4,0.03,0.8,0.3,0.4,561.21,536,230,0.9608695652173913,0.8798019207683073,0.9149513127079995,0.9513805522208884,0.9022934306892546,0.9513805522208884
her2_status,auc_bytree03_bynode04_depth4,100,test_091,91,110946400,449783289,2000,675,150,4,0.03,0.8,0.3,0.4,567.494,536,230,0.9565217391304348,0.8772509003601441,0.9067920246393257,0.9551320528211285,0.8971475183102511,0.9551320528211285
her2_status,auc_bytree03_bynode04_depth4,100,test_092,92,939966734,181002354,2000,680,150,4,0.03,0.8,0.3,0.4,573.632,536,230,0.9652173913043478,0.9066626650660263,0.9273989898989898,0.9474789915966385,0.8977235795303976,0.9474789915966385
her2_status,auc_bytree03_bynode04_depth4,100,test_093,93,1470205313,1389511747,2000,676,150,4,0.03,0.8,0.3,0.4,579.845,536,230,0.9521739130434783,0.8382352941176471,0.8898611292499238,0.9444777911164466,0.8903711165663302,0.9444777911164466
her2_status,auc_bytree03_bynode04_depth4,100,test_094,94,487778690,974839172,2000,659,150,4,0.03,0.8,0.3,0.4,586.02,536,230,0.9434782608695652,0.8452881152460985,0.877151896133777,0.9510804321728692,0.8633389787917056,0.9510804321728692
her2_status,auc_bytree03_bynode04_depth4,100,test_095,95,802147406,1279805960,2000,747,150,4,0.03,0.8,0.3,0.4,592.367,536,230,0.9695652173913043,0.9213685474189676,0.9372930866601753,0.983343337334934,0.9494097214046063,0.983343337334934
her2_status,auc_bytree03_bynode04_depth4,100,test_096,96,1211688757,803692075,2000,667,150,4,0.03,0.8,0.3,0.4,598.53,536,230,0.9608695652173913,0.8919567827130852,0.9172364159769701,0.9536314525810324,0.8917092480460862,0.9536314525810324
her2_status,auc_bytree03_bynode04_depth4,100,test_097,97,2081417147,205899454,2000,718,150,4,0.03,0.8,0.3,0.4,604.834,536,230,0.9565217391304348,0.889405762304922,0.9092487373737373,0.9566326530612244,0.9135459880990692,0.9566326530612244
her2_status,auc_bytree03_bynode04_depth4,100,test_098,98,2122610627,1124098428,2000,688,150,4,0.03,0.8,0.3,0.4,611.023,536,230,0.9521739130434783,0.850390156062425,0.8930639502937572,0.9093637454981993,0.8561201636314693,0.9093637454981993
her2_status,auc_bytree03_bynode04_depth4,100,test_099,99,1633091649,169278811,2000,668,150,4,0.03,0.8,0.3,0.4,617.245,536,230,0.9695652173913043,0.8970588235294117,0.9338510209951107,0.9561824729891958,0.9121717566686568,0.9561824729891958
her2_status,auc_bytree03_bynode04_depth4,100,test_100,100,1239249930,941030049,2000,683,150,4,0.03,0.8,0.3,0.4,623.474,536,230,0.9782608695652174,0.938625450180072,0.955209347614411,0.9951980792316928,0.9784936438764607,0.9951980792316928
