leaderboard_rank,gene,prior_gene_set,is_prior_gene,auc_score,q1_count,q2_count,q3_count,q4_count,q1_rate,q2_rate,q3_rate,q4_rate,mean_rank,median_rank,best_rank,worst_rank,mean_gain,max_gain,gain_nonzero_count,zero_gain_count
1722,FAM54A,,False,221.27063531765884,11,2,0,87,0.11,0.02,0.0,0.87,1778.84,2000.0,108,2000,0.22085025668144226,2.8860511779785156,13,87
1723,SYNCRIP,,False,220.46023011505756,9,5,0,86,0.09,0.05,0.0,0.86,1779.65,2000.0,184,2000,0.13505206763744354,2.1820435523986816,14,86
1724,RAB17,,False,220.43021510755378,9,5,0,86,0.09,0.05,0.0,0.86,1779.68,2000.0,102,2000,0.14773015499114991,3.0234181880950928,14,86
1725,MELK,pam50,True,219.81990995497748,7,7,0,86,0.07,0.07,0.0,0.86,1780.29,2000.0,155,2000,0.14424296021461486,2.3936820030212402,14,86
1726,CAMLG,,False,219.0895447723862,8,6,0,86,0.08,0.06,0.0,0.86,1781.02,2000.0,138,2000,0.1493929135799408,2.7927019596099854,14,86
1727,GTPBP8,,False,218.2791395697849,8,6,0,86,0.08,0.06,0.0,0.86,1781.83,2000.0,226,2000,0.12899742424488067,1.7644293308258057,14,86
1728,SMOX,,False,217.7588794397199,8,6,0,86,0.08,0.06,0.0,0.86,1782.35,2000.0,196,2000,0.13017493069171907,2.015535831451416,14,86
1729,ZFP14,,False,217.6288144072036,10,4,0,86,0.1,0.04,0.0,0.86,1782.48,2000.0,239,2000,0.12913386583328246,1.7718968391418457,14,86
1730,MFAP3,,False,217.5287643821911,9,4,0,87,0.09,0.04,0.0,0.87,1782.58,2000.0,90,2000,0.2152322816848755,3.7248268127441406,13,87
1731,STEAP2,,False,217.03851925962982,10,4,0,86,0.1,0.04,0.0,0.86,1783.07,2000.0,297,2000,0.1283435958623886,1.5092666149139404,14,86
1732,SYTL5,,False,217.03851925962982,8,6,0,86,0.08,0.06,0.0,0.86,1783.07,2000.0,249,2000,0.12728190541267395,1.9421501159667969,14,86
1733,MDGA2,,False,216.8184092046023,10,3,0,87,0.1,0.03,0.0,0.87,1783.29,2000.0,40,2000,0.22086100101470948,5.210529327392578,13,87
1734,GALNT10,,False,216.288144072036,8,6,0,86,0.08,0.06,0.0,0.86,1783.82,2000.0,235,2000,0.13180965304374695,2.0322701930999756,14,86
1735,MOAP1,,False,214.92746373186594,9,4,0,87,0.09,0.04,0.0,0.87,1785.18,2000.0,29,2000,0.24462732493877412,8.142772674560547,13,87
1736,TMEM25,,False,214.63731865932965,9,4,0,87,0.09,0.04,0.0,0.87,1785.47,2000.0,50,2000,0.22692646622657775,5.162971496582031,13,87
1737,KIAA1324,,False,214.5872936468234,9,4,0,87,0.09,0.04,0.0,0.87,1785.52,2000.0,97,2000,0.18914541602134705,3.0365920066833496,13,87
1738,CHST2,,False,214.41720860430217,7,6,0,87,0.07,0.06,0.0,0.87,1785.69,2000.0,26,2000,0.3207570025324821,9.084136962890625,13,87
1739,LOC157381,,False,214.34717358679345,6,8,0,86,0.06,0.08,0.0,0.86,1785.76,2000.0,138,2000,0.11761483192443847,2.476346015930176,14,86
1740,UGP2,,False,214.26713356678337,9,4,0,87,0.09,0.04,0.0,0.87,1785.84,2000.0,40,2000,0.22660188555717467,7.647823333740234,13,87
1741,MAGEB4,,False,213.84692346173085,9,4,0,87,0.09,0.04,0.0,0.87,1786.26,2000.0,45,2000,0.1998591184616089,4.932682991027832,13,87
1742,CCDC125,,False,213.57678839419705,7,6,0,87,0.07,0.06,0.0,0.87,1786.53,2000.0,29,2000,0.28325082510709765,8.492195129394531,13,87
1743,GLS,,False,213.42671335667836,11,1,0,88,0.11,0.01,0.0,0.88,1786.68,2000.0,20,2000,0.3583153438568115,13.567153930664062,12,88
1744,WDR65,,False,213.07653826913455,8,5,0,87,0.08,0.05,0.0,0.87,1787.03,2000.0,78,2000,0.19046227395534515,4.090749740600586,13,87
1745,RIPK2,,False,212.89644822411208,9,4,0,87,0.09,0.04,0.0,0.87,1787.21,2000.0,107,2000,0.18242788434028626,3.2803478240966797,13,87
