task,rerank_profile,selected_batch_size,test_id,repeat_id,split_seed,model_seed,n_panel_genes,n_nonzero_gain_genes,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_colsample_bynode,elapsed_seconds,n_train,n_test,model_accuracy,model_balanced_accuracy,model_f1_macro,model_auc,model_auprc,primary_metric
er_status,auc_bytree03_bynode04_depth4,100,test_012,12,1367782300,1320755066,2000,644,150,4,0.03,0.8,0.3,0.4,81.786,731,314,0.9394904458598726,0.9314738292011019,0.9171699501575798,0.9569559228650137,0.9813558994704138,0.9569559228650137
er_status,auc_bytree03_bynode04_depth4,100,test_013,13,2001133876,2048931772,2000,648,150,4,0.03,0.8,0.3,0.4,88.637,731,314,0.945859872611465,0.9453627180899908,0.9265497076023392,0.9695247933884298,0.9915641648045674,0.9695247933884298
er_status,auc_bytree03_bynode04_depth4,100,test_014,14,762178897,1735641257,2000,640,150,4,0.03,0.8,0.3,0.4,95.513,731,314,0.9554140127388535,0.9369260789715335,0.9369260789715335,0.9597107438016529,0.9826940550684987,0.9597107438016529
er_status,auc_bytree03_bynode04_depth4,100,test_015,15,339402197,1668524734,2000,584,150,4,0.03,0.8,0.3,0.4,102.318,731,314,0.9203821656050956,0.9093204775022956,0.891984864121087,0.9317033976124885,0.9685170564148885,0.9317033976124885
er_status,auc_bytree03_bynode04_depth4,100,test_016,16,1410668610,1755495965,2000,614,150,4,0.03,0.8,0.3,0.4,109.098,731,314,0.945859872611465,0.9356060606060606,0.9252077174202407,0.9397382920110192,0.9602061830253543,0.9397382920110192
er_status,auc_bytree03_bynode04_depth4,100,test_017,17,1181710984,1873529888,2000,583,150,4,0.03,0.8,0.3,0.4,115.922,731,314,0.9363057324840764,0.9342860422405876,0.9139678886514329,0.9465105601469238,0.9811357389315822,0.9465105601469238
er_status,auc_bytree03_bynode04_depth4,100,test_018,18,1160962945,1071237094,2000,626,150,4,0.03,0.8,0.3,0.4,122.741,731,314,0.9394904458598726,0.9265955004591369,0.9164086253520337,0.9385904499540864,0.9733622057404065,0.9385904499540864
er_status,auc_bytree03_bynode04_depth4,100,test_019,19,804310969,2006527677,2000,583,150,4,0.03,0.8,0.3,0.4,129.353,731,314,0.9203821656050956,0.9093204775022956,0.891984864121087,0.934228650137741,0.9615313553467792,0.934228650137741
er_status,auc_bytree03_bynode04_depth4,100,test_020,20,376188040,1195915977,2000,623,150,4,0.03,0.8,0.3,0.4,136.194,731,314,0.9267515923566879,0.9183310376492195,0.9006260749914001,0.9547176308539944,0.9828456223545119,0.9547176308539944
er_status,auc_bytree03_bynode04_depth4,100,test_021,21,8905008,1084578321,2000,640,150,4,0.03,0.8,0.3,0.4,142.971,731,314,0.9490445859872612,0.9376721763085399,0.9292792792792792,0.9623507805325988,0.9821029796267253,0.9623507805325988
er_status,auc_bytree03_bynode04_depth4,100,test_022,22,6115561,1769548359,2000,636,150,4,0.03,0.8,0.3,0.4,149.761,731,314,0.9426751592356688,0.9432966023875115,0.9225710997862897,0.9588498622589531,0.9840430655351485,0.9588498622589531
er_status,auc_bytree03_bynode04_depth4,100,test_023,23,66051797,2075896051,2000,616,150,4,0.03,0.8,0.3,0.4,156.588,731,314,0.945859872611465,0.9356060606060606,0.9252077174202407,0.9496097337006427,0.9815018729012124,0.9496097337006427
er_status,auc_bytree03_bynode04_depth4,100,test_024,24,917354632,845046320,2000,656,150,4,0.03,0.8,0.3,0.4,163.497,731,314,0.9522292993630573,0.9543732782369146,0.9351909184726522,0.9706726354453629,0.9878406592079185,0.9706726354453629
er_status,auc_bytree03_bynode04_depth4,100,test_025,25,1367554896,280537801,2000,671,150,4,0.03,0.8,0.3,0.4,170.33,731,314,0.9713375796178344,0.9521349862258953,0.9588448599764079,0.9645316804407714,0.9825488018283047,0.9645316804407714
er_status,auc_bytree03_bynode04_depth4,100,test_026,26,1771320281,1843645415,2000,614,150,4,0.03,0.8,0.3,0.4,177.338,731,314,0.9426751592356688,0.918904958677686,0.918904958677686,0.9588498622589531,0.9852074021220572,0.9588498622589531
er_status,auc_bytree03_bynode04_depth4,100,test_027,27,1482653571,775395596,2000,610,150,4,0.03,0.8,0.3,0.4,184.206,731,314,0.9235668789808917,0.9260215794306703,0.8985187180177754,0.9548898071625345,0.9825990193375755,0.9548898071625345
er_status,auc_bytree03_bynode04_depth4,100,test_028,28,1076430200,2138775571,2000,641,150,4,0.03,0.8,0.3,0.4,190.931,731,314,0.9426751592356688,0.9384182736455464,0.9218819106590004,0.9568411386593205,0.9842840564639661,0.9568411386593205
er_status,auc_bytree03_bynode04_depth4,100,test_029,29,1984739114,290599674,2000,592,150,4,0.03,0.8,0.3,0.4,197.881,731,314,0.9490445859872612,0.9327938475665749,0.9286079690786109,0.9523071625344353,0.9827641081547485,0.9523071625344353
er_status,auc_bytree03_bynode04_depth4,100,test_030,30,81960617,1778384451,2000,615,150,4,0.03,0.8,0.3,0.4,204.708,731,314,0.9554140127388535,0.9418044077134986,0.9375319729437844,0.9659664830119375,0.9893953608214964,0.9659664830119375
er_status,auc_bytree03_bynode04_depth4,100,test_031,31,1959225315,1649329487,2000,618,150,4,0.03,0.8,0.3,0.4,211.568,731,314,0.9426751592356688,0.9335399449035813,0.9211715481171547,0.9461088154269973,0.9698029385557774,0.9461088154269973
er_status,auc_bytree03_bynode04_depth4,100,test_032,32,302510474,76918535,2000,626,150,4,0.03,0.8,0.3,0.4,218.47,731,314,0.9554140127388535,0.9369260789715335,0.9369260789715335,0.96866391184573,0.9847445028767158,0.96866391184573
er_status,auc_bytree03_bynode04_depth4,100,test_033,33,251032793,1130173534,2000,608,150,4,0.03,0.8,0.3,0.4,225.323,731,314,0.9426751592356688,0.9286616161616161,0.9204391891891892,0.9568985307621671,0.9801820824400561,0.9568985307621671
er_status,auc_bytree03_bynode04_depth4,100,test_034,34,654700442,1037886342,2000,619,150,4,0.03,0.8,0.3,0.4,232.04,731,314,0.9394904458598726,0.9168388429752066,0.9148140215606482,0.9567263544536272,0.9826320487876825,0.9567263544536272
er_status,auc_bytree03_bynode04_depth4,100,test_035,35,1764127910,1065602813,2000,643,150,4,0.03,0.8,0.3,0.4,238.768,731,314,0.9331210191082803,0.9224632690541781,0.9084509975425882,0.9515036730945822,0.9753530769170691,0.9515036730945822
er_status,auc_bytree03_bynode04_depth4,100,test_036,36,357476314,1082678904,2000,611,150,4,0.03,0.8,0.3,0.4,245.464,731,314,0.9426751592356688,0.923783287419651,0.9196839652134372,0.9551767676767677,0.9800805567706321,0.9551767676767677
er_status,auc_bytree03_bynode04_depth4,100,test_037,37,2110981807,535220376,2000,641,150,4,0.03,0.8,0.3,0.4,252.216,731,314,0.9585987261146497,0.9633838383838385,0.9438321293429652,0.9643595041322315,0.9832949652598325,0.9643595041322315
er_status,auc_bytree03_bynode04_depth4,100,test_038,38,2146623606,1020073260,2000,637,150,4,0.03,0.8,0.3,0.4,259.047,731,314,0.9585987261146497,0.948748852157943,0.9422687994116565,0.960858585858586,0.9861061379143378,0.960858585858586
er_status,auc_bytree03_bynode04_depth4,100,test_039,39,409781670,1506813897,2000,639,150,4,0.03,0.8,0.3,0.4,265.868,731,314,0.9426751592356688,0.9384182736455464,0.9218819106590004,0.955635904499541,0.9795881204244565,0.955635904499541
er_status,auc_bytree03_bynode04_depth4,100,test_040,40,1069693370,1274923883,2000,620,150,4,0.03,0.8,0.3,0.4,272.719,731,314,0.9585987261146497,0.948748852157943,0.9422687994116565,0.9506427915518825,0.973313898711393,0.9506427915518825
er_status,auc_bytree03_bynode04_depth4,100,test_041,41,1561841042,1270867676,2000,614,150,4,0.03,0.8,0.3,0.4,279.454,731,314,0.9363057324840764,0.9245293847566575,0.9124128312412831,0.9429522497704317,0.9768022041406577,0.9429522497704317
er_status,auc_bytree03_bynode04_depth4,100,test_042,42,1114529495,1911259066,2000,619,150,4,0.03,0.8,0.3,0.4,286.219,731,314,0.9299363057324841,0.9106404958677685,0.902759009009009,0.9405417814508724,0.9743328128388274,0.9405417814508724
er_status,auc_bytree03_bynode04_depth4,100,test_043,43,491489597,1504583889,2000,595,150,4,0.03,0.8,0.3,0.4,292.939,731,314,0.9363057324840764,0.9196510560146924,0.9115990990990992,0.9425505050505051,0.9773356332396155,0.9425505050505051
er_status,auc_bytree03_bynode04_depth4,100,test_044,44,1351121066,1127364076,2000,644,150,4,0.03,0.8,0.3,0.4,299.747,731,314,0.9522292993630573,0.9348599632690542,0.9327479117584065,0.9575872359963269,0.9734215223322875,0.9575872359963269
er_status,auc_bytree03_bynode04_depth4,100,test_045,45,2047222526,206282010,2000,644,150,4,0.03,0.8,0.3,0.4,306.471,731,314,0.9299363057324841,0.9106404958677685,0.902759009009009,0.9577020202020203,0.9871508451652118,0.9577020202020203
er_status,auc_bytree03_bynode04_depth4,100,test_046,46,1986097235,531120767,2000,650,150,4,0.03,0.8,0.3,0.4,313.23,731,314,0.9490445859872612,0.9474288337924701,0.930561698363556,0.9713613406795226,0.9906012132303412,0.9713613406795226
er_status,auc_bytree03_bynode04_depth4,100,test_047,47,298827672,1151494681,2000,654,150,4,0.03,0.8,0.3,0.4,320.011,731,314,0.9617834394904459,0.9459366391184573,0.9459366391184573,0.9629820936639119,0.987227815580134,0.9629820936639119
er_status,auc_bytree03_bynode04_depth4,100,test_048,48,1966110509,374158890,2000,635,150,4,0.03,0.8,0.3,0.4,326.725,731,314,0.9490445859872612,0.9230371900826446,0.9272010664811917,0.9516184573002755,0.9766489079774614,0.9516184573002755
er_status,auc_bytree03_bynode04_depth4,100,test_049,49,701579681,975673829,2000,586,150,4,0.03,0.8,0.3,0.4,333.377,731,314,0.910828025477707,0.8884871441689624,0.8773779637377963,0.9384182736455463,0.9754067897129699,0.9384182736455463
er_status,auc_bytree03_bynode04_depth4,100,test_050,50,1169825492,421513478,2000,594,150,4,0.03,0.8,0.3,0.4,340.197,731,314,0.9363057324840764,0.9245293847566575,0.9124128312412831,0.9379591368227733,0.9733179684752111,0.9379591368227733
er_status,auc_bytree03_bynode04_depth4,100,test_051,51,1568759128,1607487161,2000,645,150,4,0.03,0.8,0.3,0.4,346.971,731,314,0.9426751592356688,0.9384182736455464,0.9218819106590004,0.96866391184573,0.9887998369062345,0.96866391184573
er_status,auc_bytree03_bynode04_depth4,100,test_052,52,1327517698,541705648,2000,591,150,4,0.03,0.8,0.3,0.4,353.611,731,314,0.9490445859872612,0.9327938475665749,0.9286079690786109,0.9458792470156108,0.9752326145012298,0.9458792470156108
er_status,auc_bytree03_bynode04_depth4,100,test_053,53,546110750,492896503,2000,639,150,4,0.03,0.8,0.3,0.4,360.439,731,314,0.9363057324840764,0.9294077134986225,0.9132021229544449,0.9625229568411388,0.9872150140886058,0.9625229568411388
er_status,auc_bytree03_bynode04_depth4,100,test_054,54,1767109882,382033531,2000,614,150,4,0.03,0.8,0.3,0.4,367.254,731,314,0.9490445859872612,0.9230371900826446,0.9272010664811917,0.9545454545454546,0.9683644765046786,0.9545454545454546
er_status,auc_bytree03_bynode04_depth4,100,test_055,55,1682307432,1267843940,2000,609,150,4,0.03,0.8,0.3,0.4,373.968,731,314,0.9363057324840764,0.9147727272727273,0.9107599613482635,0.9509297520661157,0.9777358208150244,0.9509297520661157
er_status,auc_bytree03_bynode04_depth4,100,test_056,56,262384901,1682042753,2000,609,150,4,0.03,0.8,0.3,0.4,380.821,731,314,0.9490445859872612,0.9327938475665749,0.9286079690786109,0.9488636363636364,0.9791161298109803,0.9488636363636364
er_status,auc_bytree03_bynode04_depth4,100,test_057,57,395633318,1149169532,2000,635,150,4,0.03,0.8,0.3,0.4,387.429,731,314,0.9426751592356688,0.9335399449035813,0.9211715481171547,0.9582759412304866,0.9844460238606705,0.9582759412304866
er_status,auc_bytree03_bynode04_depth4,100,test_058,58,1212977433,880271662,2000,617,150,4,0.03,0.8,0.3,0.4,394.167,731,314,0.9363057324840764,0.9245293847566575,0.9124128312412831,0.955922865013774,0.9779180939514324,0.955922865013774
er_status,auc_bytree03_bynode04_depth4,100,test_059,59,1731215867,1919808527,2000,572,150,4,0.03,0.8,0.3,0.4,400.908,731,314,0.9235668789808917,0.9162649219467401,0.8967614663817195,0.9484618916437099,0.982262595553497,0.9484618916437099
er_status,auc_bytree03_bynode04_depth4,100,test_060,60,747702718,204040488,2000,623,150,4,0.03,0.8,0.3,0.4,407.631,731,314,0.9490445859872612,0.9425505050505051,0.9299302649930266,0.9629820936639117,0.9874731677372065,0.9629820936639117
er_status,auc_bytree03_bynode04_depth4,100,test_061,61,491842943,760416219,2000,651,150,4,0.03,0.8,0.3,0.4,414.423,731,314,0.964968152866242,0.967516069788797,0.9520457606175462,0.9743457300275482,0.9874482744797299,0.9743457300275482
er_status,auc_bytree03_bynode04_depth4,100,test_062,62,97863477,711030602,2000,601,150,4,0.03,0.8,0.3,0.4,421.21,731,314,0.9426751592356688,0.923783287419651,0.9196839652134372,0.9404269972451791,0.9654346834369005,0.9404269972451791
er_status,auc_bytree03_bynode04_depth4,100,test_063,63,1615863171,200029144,2000,650,150,4,0.03,0.8,0.3,0.4,427.92,731,314,0.9426751592356688,0.9481749311294766,0.9232398956975227,0.9680325987144169,0.9894070269024834,0.9680325987144169
er_status,auc_bytree03_bynode04_depth4,100,test_064,64,82839807,342648125,2000,615,150,4,0.03,0.8,0.3,0.4,434.84,731,314,0.945859872611465,0.9404843893480257,0.9258889027725714,0.9622933884297521,0.9815408343857388,0.9622933884297521
er_status,auc_bytree03_bynode04_depth4,100,test_065,65,1241860274,1421583474,2000,673,150,4,0.03,0.8,0.3,0.4,441.589,731,314,0.9617834394904459,0.9654499540863177,0.947921273772667,0.9680899908172637,0.9876825123449624,0.9680899908172637
er_status,auc_bytree03_bynode04_depth4,100,test_066,66,1342812746,1134195263,2000,615,150,4,0.03,0.8,0.3,0.4,448.35,731,314,0.9554140127388535,0.9369260789715335,0.9369260789715335,0.9634986225895317,0.9852861989439605,0.9634986225895317
