gene,prior_gene_set,is_prior_gene,test_001,test_002,test_003,test_004,test_005,test_006,test_007,test_008,test_009,test_010,test_011,test_012,test_013,test_014,test_015,test_016,test_017,test_018,test_019,test_020,test_021,test_022,test_023,test_024,test_025,test_026,test_027,test_028,test_029,test_030,test_031,test_032,test_033,test_034,test_035,test_036,test_037,test_038,test_039,test_040,test_041,test_042,test_043,test_044,test_045,test_046,test_047,test_048,test_049,test_050,test_051,test_052,test_053,test_054,test_055,test_056,test_057,test_058,test_059,test_060,test_061,test_062,test_063,test_064,test_065,test_066,test_067,test_068,test_069,test_070,test_071,test_072,test_073,test_074,test_075,test_076,test_077,test_078,test_079,test_080,test_081,test_082,test_083,test_084,test_085,test_086,test_087,test_088,test_089,test_090,test_091,test_092,test_093,test_094,test_095,test_096,test_097,test_098,test_099,test_100
TMEM220,,False,4,5,13,11,13,1,12,4,10,6,25,8,16,9,2,15,10,2,20,13,14,12,13,18,8,13,14,5,5,20,2,3,13,13,14,4,26,17,12,16,18,8,8,13,11,10,6,15,6,23,15,12,16,24,6,2,12,27,10,4,1,11,20,12,7,22,5,11,16,8,7,22,24,2,14,9,16,4,32,20,7,20,14,23,17,15,20,8,5,12,18,10,7,17,13,21,11,27,11,7
LOC286367,,False,11,13,2000,9,2000,82,2000,2000,2,2000,2000,2000,2000,2000,52,2000,2000,25,56,2000,2000,2000,2000,2000,3,2000,2000,2000,2000,7,2000,2000,2000,2000,35,100,2000,2000,114,2000,2000,2000,2000,2000,2000,11,2000,2000,2000,2000,35,23,2000,2000,49,98,2000,2000,2000,2000,2000,80,2000,2000,2000,2000,2000,39,34,2000,70,2000,2000,28,2000,2000,2000,2000,2000,28,2000,107,2000,2000,2000,2000,2000,2000,2000,2000,44,2000,2000,2000,2000,2000,2000,2000,2000,86
CD300LG,,False,7,28,14,18,24,11,33,18,20,12,11,16,11,23,14,29,9,20,5,17,21,6,8,14,13,16,19,15,13,22,7,19,21,3,7,11,29,13,25,11,11,16,15,29,6,14,30,14,20,4,12,11,12,11,35,6,17,13,14,18,8,17,13,2000,17,12,8,20,31,22,9,18,23,18,10,7,22,26,16,30,11,17,25,22,15,22,23,22,2,20,9,9,25,14,24,15,3,8,18,20
SCN4B,,False,23,2000,2,2000,31,23,36,11,9,31,9,20,5,13,12,16,13,13,16,18,2000,19,7,5,18,9,20,2000,20,5,13,7,30,6,17,1,51,20,16,19,2,11,5,6,10,2,8,9,15,9,1,5,18,8,14,3,2000,5,2000,3,5,7,2,1,21,10,22,1,12,46,23,21,7,13,32,2,26,15,7,11,3,29,20,26,2000,25,30,3,19,5,7,16,5,6,5,4,10,3,2000,12
CHL1,,False,69,102,2000,28,50,2000,2000,2000,2000,100,31,2000,2000,88,2000,109,2000,21,2000,42,2000,90,37,116,2000,64,2000,2000,2000,61,2000,21,2000,2000,2000,110,41,51,2000,10,2000,2000,2000,65,2000,2000,2000,2000,2000,2000,2000,91,48,2000,2000,50,2000,2000,33,2000,2000,2000,5,2000,27,27,2000,2000,2000,2000,2000,13,81,2000,89,2000,2000,2000,2000,2000,31,74,2000,2,2000,2000,2000,2000,39,50,8,2000,32,2000,104,7,80,2000,2000,81
HJURP,,False,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,66,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
SCARA5,,False,31,2000,1,8,8,13,15,1,23,2000,2000,11,14,2000,1,2000,2000,4,21,15,23,28,2000,30,2000,7,2000,2000,2000,2,32,2,7,12,10,2,23,30,4,2,2000,19,24,2000,2,2000,121,20,4,2000,52,15,14,4,18,2000,33,9,4,2000,4,19,23,2,2000,2000,13,31,20,2000,15,2000,26,2000,20,2000,4,36,35,36,2000,11,39,2000,5,2000,31,9,18,4,1,2000,2000,15,4,2000,16,1,8,16
LRRC3B,,False,2000,2000,44,2000,29,2000,2000,2000,2000,2000,28,84,39,2000,2000,4,2000,2000,12,2000,2000,2000,2000,2000,2000,27,2000,98,16,2000,14,2000,2000,2000,62,10,2000,28,2000,23,9,2000,2000,2000,2000,15,9,24,2000,36,2000,2000,2000,2000,2000,10,2000,17,32,2000,23,2000,7,21,5,2000,24,2000,38,2000,28,45,43,2000,42,2000,2000,2000,2000,2000,30,2000,2000,2000,2000,2000,15,34,1,2000,2000,2000,2000,2000,2000,2000,2000,10,2,2000
NEK2,,False,2000,23,2000,2000,2000,2000,9,25,3,2000,2000,2000,2000,2,40,2000,25,2000,2000,2000,3,2000,2000,7,30,2000,2000,31,27,2000,2000,2000,2000,2000,36,21,25,2000,2000,4,59,2000,18,2000,2000,2000,2000,2000,29,2000,2000,2000,9,18,2000,2000,2000,2000,2000,2000,31,9,2000,2000,2000,2000,25,2,47,14,2000,2000,2000,2000,41,88,2000,2000,2000,3,2000,2000,27,38,2000,2000,2000,2000,2000,11,3,2000,2000,2000,19,28,14,40,38,2000
IL11RA,,False,2000,2000,2000,2000,2000,2000,2000,2000,34,2000,2000,2000,2000,2000,2000,2000,55,2000,2000,105,85,2000,90,56,107,2000,80,51,2000,2000,2000,2000,2000,2000,2000,2000,2000,38,102,2000,32,38,25,46,2000,2000,2000,2000,2000,53,72,47,2000,2000,34,2000,44,2000,43,2000,47,2000,2000,2000,2000,2000,63,78,2000,2000,2000,2000,2000,2000,2000,2000,2000,50,30,2000,2000,2000,2000,2000,2000,32,110,2000,2000,2000,42,44,2000,2000,90,2000,2000,2000,70,69
