leaderboard_rank,gene,prior_gene_set,is_prior_gene,auc_score,q1_count,q2_count,q3_count,q4_count,q1_rate,q2_rate,q3_rate,q4_rate,mean_rank,median_rank,best_rank,worst_rank,mean_gain,max_gain,gain_nonzero_count,zero_gain_count
43,CYP2B7P1,,False,1749.3246623311657,89,9,1,1,0.89,0.09,0.01,0.01,251.55,166.0,28,2000,5.847204084992409,15.717658042907715,99,1
44,PCSK6,,False,1749.0045022511258,84,9,3,4,0.84,0.09,0.03,0.04,251.87,95.5,2,2000,9.485826388597488,49.20606994628906,98,2
45,CXXC5,pam50,True,1731.8859429714857,85,7,6,2,0.85,0.07,0.06,0.02,268.98,112.5,7,2000,7.704912497699261,35.05662155151367,99,1
46,HEATR6,,False,1730.6953476738367,85,10,4,1,0.85,0.1,0.04,0.01,270.17,144.5,8,2000,6.761767293214798,24.707599639892578,99,1
47,FSIP1,,False,1727.7738869434718,84,11,5,0,0.84,0.11,0.05,0.0,273.09,147.5,9,1375,6.8543401220440865,25.906328201293945,100,0
48,MSL1,,False,1726.2731365682841,88,9,3,0,0.88,0.09,0.03,0.0,274.59,215.0,21,1260,5.3420195281505585,17.899490356445312,100,0
49,IFRD1,,False,1715.1375687843922,87,10,3,0,0.87,0.1,0.03,0.0,285.72,222.5,12,1117,5.321699812412262,21.587173461914062,100,0
50,MED24,,False,1714.1270635317662,86,12,2,0,0.86,0.12,0.02,0.0,286.73,221.0,13,1167,5.030323548913002,21.740650177001953,100,0
51,CASC3,,False,1708.9044522261129,88,8,4,0,0.88,0.08,0.04,0.0,291.95,216.5,59,1198,4.8800951099395755,11.019115447998047,100,0
52,ACBD4,,False,1694.097048524262,79,16,4,1,0.79,0.16,0.04,0.01,306.75,149.5,9,1625,7.298505488038063,31.696800231933594,100,0
53,TCAP,,False,1683.591795897949,80,20,0,0,0.8,0.2,0.0,0.0,317.25,252.5,32,930,4.574142912626266,15.120626449584961,100,0
54,MRPL45,,False,1681.4007003501754,84,12,4,0,0.84,0.12,0.04,0.0,319.44,248.5,51,1272,4.576569373607636,10.824625968933105,100,0
55,APH1B,,False,1678.0790395197605,82,5,7,6,0.82,0.05,0.07,0.06,322.76,76.0,6,2000,9.867845363914967,33.78119659423828,95,5
56,FLJ45983,,False,1674.8974487243622,80,12,6,2,0.8,0.12,0.06,0.02,325.94,165.5,13,2000,6.792452542483806,22.50098991394043,99,1
57,GSDMB,,False,1672.6963481740868,79,17,4,0,0.79,0.17,0.04,0.0,328.14,250.0,33,1380,4.38651389926672,15.429716110229492,100,0
58,C15orf39,,False,1667.5437718859428,79,17,4,0,0.79,0.17,0.04,0.0,333.29,221.0,38,1497,4.887267345190049,14.272464752197266,100,0
59,SLC39A6,pam50,True,1652.7563781890944,79,13,4,4,0.79,0.13,0.04,0.04,348.07,186.0,13,2000,6.31467290520668,20.459693908691406,96,4
60,GDF5,,False,1650.985492746373,78,18,4,0,0.78,0.18,0.04,0.0,349.84,285.5,11,1268,4.510428382158279,21.748464584350586,100,0
61,PELI1,,False,1647.0535267633816,81,15,2,2,0.81,0.15,0.02,0.02,353.77,253.0,47,2000,4.487054969668389,13.130846977233887,98,2
62,WIPF2,,False,1646.413206603302,80,15,5,0,0.8,0.15,0.05,0.0,354.41,275.0,24,1479,4.463220715820789,17.782621383666992,100,0
63,SERPINA11,,False,1646.3631815907956,73,21,2,4,0.73,0.21,0.02,0.04,354.46,192.5,10,2000,5.938988623172045,23.972789764404297,99,1
64,WDR19,,False,1636.9084542271137,73,14,8,5,0.73,0.14,0.08,0.05,363.91,128.5,5,2000,7.621228885352611,33.86466979980469,98,2
65,RPS6KB1,,False,1633.896948474237,78,15,4,3,0.78,0.15,0.04,0.03,366.92,238.5,25,2000,4.550929778516292,16.092111587524414,98,2
66,ASB13,,False,1629.0045022511251,71,15,10,4,0.71,0.15,0.1,0.04,371.81,114.0,5,2000,8.935296201705933,47.64483642578125,98,2
67,SUSD3,,False,1626.48324162081,74,12,11,3,0.74,0.12,0.11,0.03,374.33,150.5,6,2000,7.646613895595074,32.93101501464844,98,2
68,POU5F1,,False,1624.6723361680843,77,14,6,3,0.77,0.14,0.06,0.03,376.14,229.0,19,2000,5.5214310624450444,20.66878318786621,98,2
69,ZBTB4,,False,1612.6863431715858,75,16,6,3,0.75,0.16,0.06,0.03,388.12,267.5,25,2000,5.23428226172924,17.475757598876953,98,2
