task,rerank_profile,selected_batch_size,test_id,repeat_id,split_seed,model_seed,n_panel_genes,n_nonzero_gain_genes,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_colsample_bynode,elapsed_seconds,n_train,n_test,model_accuracy,model_balanced_accuracy,model_f1_macro,model_auc_macro_ovr,primary_metric
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_020,20,752543724,1574662425,2000,1625,200,4,0.03,0.8,0.3,0.4,425.477,508,218,0.8899082568807339,0.7945758258258258,0.7860095442332284,0.9459529111170345,0.7860095442332284
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_021,21,717992616,856964926,2000,1668,200,4,0.03,0.8,0.3,0.4,446.672,508,218,0.8807339449541285,0.7218468468468469,0.7450435233043928,0.9630706393904852,0.7450435233043928
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_022,22,1079898237,2118068530,2000,1617,200,4,0.03,0.8,0.3,0.4,467.903,508,218,0.908256880733945,0.8138138138138138,0.8174060298164444,0.9574091427777673,0.8174060298164444
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_023,23,981955604,1834454708,2000,1640,200,4,0.03,0.8,0.3,0.4,488.957,508,218,0.8899082568807339,0.768581081081081,0.779941998123739,0.9546065332384722,0.779941998123739
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_024,24,36984584,750739920,2000,1634,200,4,0.03,0.8,0.3,0.4,510.177,508,218,0.8899082568807339,0.8171921921921921,0.8064200680272109,0.9447358975596419,0.8064200680272109
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_025,25,2602603,1041547852,2000,1612,200,4,0.03,0.8,0.3,0.4,531.269,508,218,0.8715596330275229,0.7865052552552553,0.811480481487095,0.9361510558868115,0.811480481487095
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_026,26,831016350,2010985110,2000,1643,200,4,0.03,0.8,0.3,0.4,552.892,508,218,0.8899082568807339,0.790915915915916,0.796517273576097,0.9467312823629785,0.796517273576097
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_027,27,996762978,745569216,2000,1646,200,4,0.03,0.8,0.3,0.4,574.284,508,218,0.9128440366972477,0.8445007507507508,0.8370065699346179,0.9537299052121637,0.8370065699346179
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_028,28,185770611,1447242359,2000,1609,200,4,0.03,0.8,0.3,0.4,595.511,508,218,0.9174311926605505,0.8164414414414414,0.8204261444252613,0.9551758156173231,0.8204261444252613
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_029,29,1048821945,1987995005,2000,1613,200,4,0.03,0.8,0.3,0.4,616.539,508,218,0.9036697247706422,0.7961711711711712,0.8183974985342974,0.9702885431098873,0.8183974985342974
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_030,30,255328819,818480080,2000,1651,200,4,0.03,0.8,0.3,0.4,637.691,508,218,0.908256880733945,0.8262012012012012,0.8262121212121213,0.9643138179227493,0.8262121212121213
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_031,31,742255856,1779853030,2000,1643,200,4,0.03,0.8,0.3,0.4,659.004,508,218,0.9128440366972477,0.8429992492492493,0.8421403540709052,0.9595369970032817,0.8421403540709052
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_032,32,1988497578,1091750528,2000,1632,200,4,0.03,0.8,0.3,0.4,680.108,508,218,0.8853211009174312,0.7298235735735735,0.7568292617902695,0.9472724990955275,0.7568292617902695
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_033,33,1681700738,1084015809,2000,1650,200,4,0.03,0.8,0.3,0.4,701.136,508,218,0.8944954128440367,0.8276088588588588,0.8095632035274415,0.959520769511452,0.8095632035274415
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_034,34,208198415,2115040492,2000,1638,200,4,0.03,0.8,0.3,0.4,722.682,508,218,0.9174311926605505,0.870777027027027,0.8518330144073546,0.9542098695138007,0.8518330144073546
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_035,35,159144767,1808634307,2000,1653,200,4,0.03,0.8,0.3,0.4,744.035,508,218,0.8944954128440367,0.7926989489489489,0.8000991660863126,0.9483430352663047,0.8000991660863126
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_036,36,241497527,1231782500,2000,1608,200,4,0.03,0.8,0.3,0.4,765.345,508,218,0.8990825688073395,0.7683933933933935,0.8176567656765676,0.9415825903552065,0.8176567656765676
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_037,37,184121863,1011660848,2000,1596,200,4,0.03,0.8,0.3,0.4,786.602,508,218,0.8532110091743119,0.7462462462462462,0.7278455697918784,0.9325542681672003,0.7278455697918784
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_038,38,1161781347,1998400869,2000,1640,200,4,0.03,0.8,0.3,0.4,807.83,508,218,0.9128440366972477,0.8234797297297298,0.8401921759972607,0.9652883406074141,0.8401921759972607
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_039,39,311639952,1178465837,2000,1617,200,4,0.03,0.8,0.3,0.4,829.479,508,218,0.8807339449541285,0.7889451951951952,0.781147053829173,0.9405932039818696,0.781147053829173
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_040,40,1741995393,960997873,2000,1646,200,4,0.03,0.8,0.3,0.4,850.476,508,218,0.8899082568807339,0.7599474474474475,0.7732463943478551,0.9609932977420136,0.7732463943478551
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_041,41,279531655,2053143428,2000,1624,200,4,0.03,0.8,0.3,0.4,871.677,508,218,0.8899082568807339,0.8170983483483483,0.8142857142857144,0.9351257884444527,0.8142857142857144
