leaderboard_rank,gene,prior_gene_set,is_prior_gene,auc_score,q1_count,q2_count,q3_count,q4_count,q1_rate,q2_rate,q3_rate,q4_rate,mean_rank,median_rank,best_rank,worst_rank,mean_gain,max_gain,gain_nonzero_count,zero_gain_count
1749,WNK4,,False,200.04002001000504,7,6,0,87,0.07,0.06,0.0,0.87,1800.06,2000.0,65,2000,0.3513949120044708,15.037322044372559,13,87
1750,TMPRSS13,,False,199.9899949974987,7,6,0,87,0.07,0.06,0.0,0.87,1800.11,2000.0,239,2000,0.30535254180431365,5.5130205154418945,13,87
1751,SIAH2,,False,199.52976488244124,6,7,0,87,0.06,0.07,0.0,0.87,1800.57,2000.0,163,2000,0.30386731266975403,7.737144470214844,13,87
1752,HMGCS2,,False,199.0095047523762,10,2,0,88,0.1,0.02,0.0,0.88,1801.09,2000.0,162,2000,0.496164533495903,7.390415668487549,12,88
1753,HEXIM2,,False,198.80940470235117,8,5,0,87,0.08,0.05,0.0,0.87,1801.29,2000.0,163,2000,0.2805531321465969,7.881103515625,13,87
1754,PHF15,,False,198.76938469234616,5,8,0,87,0.05,0.08,0.0,0.87,1801.33,2000.0,82,2000,0.38652566850185394,11.098037719726562,13,87
1755,PRKAG3,,False,198.5392696348174,10,2,0,88,0.1,0.02,0.0,0.88,1801.56,2000.0,66,2000,0.5538370752334595,14.756805419921875,12,88
1756,KIAA0232,,False,197.88894447223612,6,7,0,87,0.06,0.07,0.0,0.87,1802.21,2000.0,245,2000,0.2638238686323166,4.933809280395508,13,87
1757,SHC4,,False,197.8089044522261,6,7,0,87,0.06,0.07,0.0,0.87,1802.29,2000.0,99,2000,0.29705361314117906,12.061247825622559,13,87
1758,LOC400927,,False,197.24862431215607,5,8,0,87,0.05,0.08,0.0,0.87,1802.85,2000.0,203,2000,0.287054181098938,6.887118816375732,13,87
1759,ERBB3,,False,197.1785892946473,6,7,0,87,0.06,0.07,0.0,0.87,1802.92,2000.0,94,2000,0.2709674435853958,10.101385116577148,13,87
1760,MRPL37,,False,197.06853426713357,8,5,0,87,0.08,0.05,0.0,0.87,1803.03,2000.0,354,2000,0.2552503037452698,3.685546875,13,87
1761,OTX1,,False,197.02851425712856,4,9,0,87,0.04,0.09,0.0,0.87,1803.07,2000.0,36,2000,0.4327171111106873,23.300710678100586,13,87
1762,PSMB4,,False,196.7483741870935,5,8,0,87,0.05,0.08,0.0,0.87,1803.35,2000.0,145,2000,0.28287656903266906,8.24905776977539,13,87
