leaderboard_rank,gene,prior_gene_set,is_prior_gene,auc_score,q1_count,q2_count,q3_count,q4_count,q1_rate,q2_rate,q3_rate,q4_rate,mean_rank,median_rank,best_rank,worst_rank,mean_gain,max_gain,gain_nonzero_count,zero_gain_count
12,STARD3,,False,1846.96348174087,97,0,0,3,0.97,0.0,0.0,0.03,153.96,83.0,21,2000,12.78778653860092,46.79697036743164,97,3
13,FSIP1,,False,1840.3501750875437,93,0,0,7,0.93,0.0,0.0,0.07,160.57,14.0,1,2000,84.38222949028015,380.9882507324219,93,7
14,CA12,,False,1817.1085542771386,92,0,0,8,0.92,0.0,0.0,0.08,183.8,12.0,1,2000,95.14993482112885,307.3151550292969,92,8
15,C17orf37,,False,1813.0365182591297,98,1,0,1,0.98,0.01,0.0,0.01,187.87,130.0,18,2000,9.530878241062164,33.89672088623047,99,1
16,C6orf97,,False,1812.9864932466232,90,4,0,6,0.9,0.04,0.0,0.06,187.92,16.0,2,2000,69.79373010158538,287.56927490234375,94,6
17,LOC145837,,False,1799.3696848424215,91,0,0,9,0.91,0.0,0.0,0.09,201.53,12.0,1,2000,99.95134719371795,399.3577880859375,91,9
18,PPP1R14C,,False,1791.7058529264632,88,5,0,7,0.88,0.05,0.0,0.07,209.19,23.5,1,2000,56.856372457742694,436.2149658203125,93,7
19,B3GNT5,,False,1782.4512256128062,89,2,0,9,0.89,0.02,0.0,0.09,218.44,12.0,1,2000,92.59668188333511,428.5447082519531,91,9
20,CT62,,False,1737.2886443221612,86,3,0,11,0.86,0.03,0.0,0.11,263.58,12.0,1,2000,94.33215307712555,407.4204406738281,89,11
21,CD79B,,False,1732.8864432216108,95,3,0,2,0.95,0.03,0.0,0.02,267.98,215.0,84,2000,6.026574125289917,11.9097900390625,98,2
22,XBP1,,False,1726.6633316658329,85,3,0,12,0.85,0.03,0.0,0.12,274.2,7.0,1,2000,134.19676867723464,423.5637512207031,88,12
23,PSAT1,,False,1717.4787393696854,87,1,0,12,0.87,0.01,0.0,0.12,283.38,25.5,1,2000,50.609455996751784,255.55029296875,88,12
24,TMEM217,,False,1712.4862431215608,93,3,0,4,0.93,0.03,0.0,0.04,288.37,204.0,17,2000,7.460343093276024,72.06883239746094,96,4
25,S100B,,False,1672.4262131065532,94,2,0,4,0.94,0.02,0.0,0.04,328.41,252.0,79,2000,5.418339338302612,11.961058616638184,96,4
26,LEMD1,,False,1665.452726363182,85,6,0,9,0.85,0.06,0.0,0.09,335.38,129.5,11,2000,13.436578975319863,95.41417694091797,91,9
27,CDK12,,False,1662.0910455227613,89,4,0,7,0.89,0.04,0.0,0.07,338.74,192.0,45,2000,7.004818732738495,25.531105041503906,93,7
28,CHRDL2,,False,1659.8599299649825,90,3,0,7,0.9,0.03,0.0,0.07,340.97,185.5,42,2000,7.117172051072121,25.94763946533203,93,7
29,PRR15,,False,1634.1170585292648,83,1,0,16,0.83,0.01,0.0,0.16,366.7,27.5,2,2000,51.56398847103119,256.3027038574219,84,16
30,DNAJB11,,False,1616.4882441220614,89,2,0,9,0.89,0.02,0.0,0.09,384.32,221.0,74,2000,5.945725765228271,14.08930778503418,91,9
31,ENPP1,,False,1591.6358179089546,84,5,0,11,0.84,0.05,0.0,0.11,409.16,186.5,25,2000,7.45319650053978,36.82154846191406,89,11
32,CYP2B7P1,,False,1581.710855427714,80,4,0,16,0.8,0.04,0.0,0.16,419.08,73.5,1,2000,29.392284277677536,230.2841796875,84,16
33,S100A9,,False,1570.2551275637823,86,2,0,12,0.86,0.02,0.0,0.12,430.53,223.5,65,2000,5.87778725862503,15.663314819335938,88,12
34,KLHDC3,,False,1564.8224112056027,86,1,0,13,0.86,0.01,0.0,0.13,435.96,190.0,51,2000,6.684592117071151,18.472999572753906,87,13
35,FZD9,,False,1556.8384192096048,78,2,0,20,0.78,0.02,0.0,0.2,443.94,28.5,1,2000,52.47318840384483,303.441650390625,80,20
36,NCAM2,,False,1556.218109054527,81,5,0,14,0.81,0.05,0.0,0.14,444.56,176.0,20,2000,7.400902330875397,46.426963806152344,86,14
37,ZNF385A,,False,1541.9109554777388,78,9,0,13,0.78,0.09,0.0,0.13,458.86,219.5,34,2000,6.937527517080307,31.51720428466797,87,13
